"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Requisition Raid","W","U","159382","5.50","19343","8.21","53083","45.2%","54.0%","8196","51.4%","12334","55.3%","20530","53.8%","32536","54.1%","-0.4pp"
"Rustler Rampage","W","U","184619","6.98","19652","10.60","18230","15.4%","52.9%","2725","50.7%","4124","52.8%","6849","52.0%","11374","53.4%","-1.4pp"
"Shepherd of the Clouds","W","U","76466","2.66","31997","2.97","184148","93.2%","56.6%","29834","56.4%","45243","60.9%","75077","59.1%","108636","54.8%","4.3pp"
"Sheriff of Safe Passage","W","U","157993","5.53","18126","8.24","52904","48.8%","52.8%","8961","51.5%","12172","52.8%","21133","52.2%","31790","53.2%","-1.0pp"
"Stagecoach Security","W","C","447980","6.57","60206","9.54","185529","50.7%","55.4%","28969","54.4%","43420","56.6%","72389","55.7%","113180","55.2%","0.5pp"
"Steer Clear","W","C","445163","6.57","56537","9.63","144940","42.3%","54.6%","23660","52.8%","33047","54.0%","56707","53.5%","88111","55.3%","-1.8pp"
"Sterling Keykeeper","W","C","426981","6.00","67078","8.49","286770","70.0%","55.7%","50399","55.0%","65288","55.6%","115687","55.4%","170978","55.8%","-0.5pp"
"Sterling Supplier","W","C","440727","6.42","65511","9.13","231778","57.9%","55.8%","35877","54.7%","55217","57.2%","91094","56.2%","140717","55.6%","0.6pp"
"Take Up the Shield","W","C","398371","5.42","71749","7.42","330380","74.9%","56.3%","52917","55.8%","77218","58.6%","130135","57.5%","199981","55.6%","1.8pp"
"Thunder Lasso","W","U","166340","5.92","21039","8.67","57046","44.9%","54.2%","9060","52.6%","13074","54.4%","22134","53.7%","34781","54.5%","-0.8pp"
"Trained Arynx","W","C","322358","4.34","78476","5.44","429436","88.3%","56.7%","77507","59.7%","95432","55.2%","172939","57.2%","251261","56.3%","0.9pp"
"Vengeful Townsfolk","W","C","436759","6.31","54265","9.34","173485","52.7%","54.8%","29922","54.4%","39770","54.2%","69692","54.3%","103872","55.1%","-0.8pp"
"Wanted Griffin","W","C","446861","6.55","56297","9.63","156446","45.7%","54.9%","25267","53.5%","37071","55.8%","62338","54.8%","94244","54.9%","-0.1pp"
"Archmage's Newt","U","R","52757","3.96","8882","5.44","33396","65.0%","51.2%","5763","52.4%","8953","52.1%","14716","52.2%","18524","50.4%","1.8pp"
"Canyon Crab","U","U","148708","5.04","28321","6.69","123457","74.2%","52.6%","21944","53.8%","33518","54.7%","55462","54.3%","67630","51.2%","3.1pp"
"Daring Thunder-Thief","U","C","475700","7.98","54947","11.52","57575","17.8%","49.8%","9309","48.6%","15574","51.7%","24883","50.5%","32588","49.2%","1.3pp"
"Deepmuck Desperado","U","U","140628","4.93","25507","6.51","100718","68.3%","50.9%","17825","50.0%","28317","54.0%","46142","52.4%","54368","49.5%","2.9pp"
"Djinn of Fool's Fall","U","C","462731","7.37","52478","10.83","93728","30.6%","49.3%","15091","47.4%","25433","51.6%","40524","50.1%","53094","48.6%","1.5pp"
"Double Down","U","M","19595","3.39","4860","3.70","15885","56.1%","51.0%","2723","55.0%","4295","53.6%","7018","54.2%","8742","48.2%","6.0pp"
"Duelist of the Mind","U","R","32831","2.62","12336","2.83","64418","87.2%","54.1%","11532","59.0%","17973","57.6%","29505","58.2%","34772","50.6%","7.6pp"
"Emergent Haunting","U","U","154764","5.41","25861","7.25","92761","61.4%","51.4%","16443","52.9%","25545","52.2%","41988","52.5%","50614","50.5%","2.0pp"
"Failed Fording","U","C","463340","7.32","60705","10.49","134652","37.6%","51.4%","22643","49.8%","37584","55.6%","60227","53.4%","73855","49.7%","3.7pp"
"Fblthp, Lost on the Range","U","R","45408","3.63","7973","4.59","29699","65.7%","48.3%","4965","44.9%","8310","49.3%","13275","47.6%","16318","48.7%","-1.1pp"
"Fleeting Reflection","U","U","191102","7.68","20564","11.43","10646","8.7%","47.4%","1640","44.0%","2887","50.5%","4527","48.2%","6073","46.7%","1.5pp"
"Geralf, the Fleshwright","U","M","10110","1.72","5675","1.69","30093","88.9%","53.2%","5118","55.8%","8370","57.5%","13488","56.9%","16494","50.2%","6.7pp"
"Geyser Drake","U","C","430650","6.49","51371","9.48","149220","49.9%","50.6%","25721","49.6%","40342","52.9%","66063","51.6%","82912","49.8%","1.7pp"
"Harrier Strix","U","C","463814","7.58","51092","11.07","80248","26.8%","50.1%","13801","50.2%","21352","53.9%","35153","52.4%","44900","48.2%","4.2pp"
"Jailbreak Scheme","U","C","462069","7.19","69458","10.00","186721","45.1%","53.7%","30675","52.0%","52538","58.3%","83213","56.0%","102587","51.7%","4.3pp"
"The Key to the Vault","U","R","64413","5.17","7162","8.06","6937","16.7%","45.5%","1139","40.4%","1802","45.7%","2941","43.6%","3959","46.8%","-3.2pp"
"Loan Shark","U","C","403396","5.62","60923","7.97","260310","72.5%","52.4%","43213","51.9%","72702","55.6%","115915","54.2%","143800","51.0%","3.3pp"
