"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Seed of Hope","G","C","396200","8.61","54545","11.75","78337","23.8%","54.7%","13657","54.7%","18334","54.6%","31991","54.6%","46372","54.7%","-0.0pp"
"Seizan, Perverter of Truth","B","R","33252","5.42","3660","8.66","1974","9.0%","46.3%","278","","486","","764","41.8%","1210","48.4%","-6.7pp"
"Seraph of New Capenna","W","U","162300","4.90","19507","7.06","65954","57.4%","51.7%","11293","49.3%","14714","51.0%","26007","50.2%","39733","52.6%","-2.4pp"
"Serpent-Blade Assailant","G","C","339104","5.81","40813","8.54","164937","67.6%","53.7%","28308","53.8%","37648","54.1%","65956","53.9%","98486","53.5%","0.5pp"
"Shanna, Sisay's Legacy","WG","U","139720","6.25","16228","9.07","42312","43.5%","54.1%","7386","55.8%","8892","52.3%","16278","53.9%","25865","54.1%","-0.2pp"
"Shatter the Source","R","C","350342","6.25","50671","8.74","178906","59.1%","53.1%","27175","51.6%","44004","54.0%","71179","53.1%","107967","53.1%","-0.0pp"
"Sheoldred","B","M","5370","1.19","4606","1.19","26501","91.7%","57.7%","4379","61.9%","7188","64.9%","11567","63.7%","14778","52.7%","11.0pp"
"Sheoldred, Whispering One","B","M","3992","1.39","2900","1.39","16353","92.1%","56.2%","2667","56.3%","4480","63.7%","7147","60.9%","9236","52.3%","8.6pp"
"Shivan Branch-Burner","R","U","170136","5.02","23484","7.01","84873","60.8%","52.7%","12963","50.6%","20694","53.8%","33657","52.6%","51304","52.7%","-0.2pp"
"Sigiled Sentinel","W","C","299094","4.84","49795","6.54","247002","81.2%","56.1%","42793","56.3%","53247","54.3%","96040","55.1%","150422","56.6%","-1.4pp"
"Skithiryx, the Blight Dragon","B","M","4761","1.60","2558","1.65","13189","87.4%","52.9%","2215","51.0%","3510","56.9%","5725","54.6%","7524","51.4%","3.2pp"
"Skittering Surveyor","","C","278366","4.23","61832","5.73","285146","77.0%","53.7%","52252","53.1%","68342","55.1%","120594","54.3%","164204","53.3%","1.0pp"
