"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Thousand Moons Crackshot","W","C","384141","7.78","47467","11.08","68463","23.6%","53.8%","11917","52.6%","14505","52.1%","26422","52.3%","41961","54.7%","-2.4pp"
"Thousand Moons Infantry","W","C","384461","7.98","42167","11.67","40135","15.8%","51.5%","6790","50.4%","8993","49.5%","15783","49.9%","24311","52.5%","-2.6pp"
"Thousand Moons Smithy","W","R","10519","1.49","7844","1.45","44176","90.0%","57.4%","7550","62.9%","11199","61.6%","18749","62.1%","24875","53.7%","8.4pp"
"Tinker's Tote","W","C","258702","4.19","64710","5.38","343590","86.0%","56.3%","59571","55.8%","81542","57.5%","141113","56.8%","200024","55.9%","0.9pp"
"Unstable Glyphbridge","W","R","11385","1.63","8102","1.59","44588","87.4%","58.8%","7591","62.9%","11559","66.4%","19150","65.0%","25002","53.8%","11.2pp"
"Vanguard of the Rose","W","U","107453","4.56","24660","5.83","118600","77.9%","56.4%","20795","56.9%","27002","55.7%","47797","56.2%","70608","56.6%","-0.4pp"
"Warden of the Inner Sky","W","R","12093","1.71","7869","1.68","43686","88.6%","58.2%","7903","66.1%","10725","61.7%","18628","63.6%","25049","54.3%","9.2pp"
"Akal Pakal, First Among Equals","U","R","12991","1.84","8830","1.81","50112","90.4%","58.2%","8880","65.9%","12755","60.9%","21635","62.9%","28268","54.6%","8.3pp"
"Ancestral Reminiscence","U","C","393183","8.53","48569","12.07","33581","11.4%","52.1%","5428","49.3%","8526","53.2%","13954","51.7%","19414","52.4%","-0.7pp"
"Brackish Blunder","U","C","341699","6.01","68138","8.05","284541","67.9%","56.6%","47388","54.9%","69699","58.1%","117087","56.8%","165460","56.3%","0.5pp"
"Braided Net","U","R","17279","2.40","8380","2.47","43232","84.8%","55.8%","7303","54.3%","12475","58.4%","19778","56.9%","23995","54.9%","2.0pp"
"Chart a Course","U","U","103081","4.38","24787","5.59","116555","77.0%","55.7%","19994","54.7%","29211","56.2%","49205","55.6%","66558","55.8%","-0.3pp"
"Cogwork Wrestler","U","C","331467","5.91","77484","7.50","366137","75.9%","57.5%","62269","57.6%","84840","58.2%","147109","57.9%","213717","57.1%","0.8pp"
"Confounding Riddle","U","U","122330","5.37","21394","7.34","67843","52.6%","53.6%","11291","52.4%","17060","55.4%","28351","54.2%","38973","53.0%","1.2pp"
"Council of Echoes","U","U","115230","5.11","20524","6.89","68973","55.7%","54.0%","10402","51.8%","18124","57.3%","28526","55.3%","39723","52.9%","2.4pp"
